Country,Power_Plant,Capacity_MW,Year_Commissioned,Operator,Type,Fuel,Location,Status,Construction_Start,Cost_Billion_USD,Safety_Rating
Antigua and Barbuda,"Sosa, Clark and Brown",261700,1994,Hawkins-Michael,Boiling Water Reactor,Uranium,"Feliciashire, Antigua and Barbuda",Under Construction,1981,7.81,3
Slovakia (Slovak Republic),Guerra-Andrews,243800,1995,Webb LLC,Fast Breeder Reactor,Mixed Oxide Fuel,"Jenniferfurt, Slovakia (Slovak Republic)",Under Construction,2021,9.79,1
Israel,"Bowers, Bailey and Waller",53000,1980,Brewer LLC,Fast Breeder Reactor,Thorium,"South Jason, Israel",Decommissioned,2007,4.0,2
Croatia,Campbell-Carlson,407000,1985,Duncan Ltd,Pressurized Water Reactor,Mixed Oxide Fuel,"New Emilyberg, Croatia",Decommissioned,2009,1.91,5
Italy,"Smith, Sanders and Rivera",426600,2014,"Bridges, Parker and Sutton",Pressurized Water Reactor,Mixed Oxide Fuel,"East Codyville, Italy",Under Construction,2009,6.28,2
Mongolia,Long-Romero,143200,1976,Velez PLC,Boiling Water Reactor,Uranium,"West Georgeport, Mongolia",Under Construction,1970,8.46,2
Uruguay,"Gomez, Jordan and Lee",113500,1990,Freeman and Sons,Pressurized Water Reactor,Uranium,"North Andrewbury, Uruguay",Decommissioned,2013,1.38,5
Malta,Osborne-Strickland,205500,1994,Mason-Barrett,Boiling Water Reactor,Uranium,"New Johnside, Malta",Planned,1990,4.1,2
Uganda,"Wolfe, Patel and Hernandez",358600,1974,"Hernandez, Lowery and Weber",Boiling Water Reactor,Uranium,"New Fred, Uganda",Under Construction,2017,4.51,2
Western Sahara,Collins Inc,141300,1998,"White, Smith and Weiss",Fast Breeder Reactor,Mixed Oxide Fuel,"South Alyssa, Western Sahara",Under Construction,2012,2.3,1
American Samoa,"Nolan, Smith and Hood",324100,1988,"Ward, Williams and Glover",Pressurized Water Reactor,Uranium,"Esparzamouth, American Samoa",Decommissioned,2023,6.93,1
Brunei Darussalam,"Mitchell, Taylor and Johnson",289700,1995,Flynn Inc,Boiling Water Reactor,Mixed Oxide Fuel,"East Jeremy, Brunei Darussalam",Decommissioned,1994,5.98,5
Spain,Wong-Harmon,307400,2007,"Haney, Lang and Salas",Boiling Water Reactor,Mixed Oxide Fuel,"North Kaitlynfort, Spain",Decommissioned,2009,3.89,5
Andorra,Hess Ltd,499000,1984,Haney Group,Fast Breeder Reactor,Thorium,"North Nicole, Andorra",Decommissioned,2013,1.92,4
Congo,"Sullivan, Harper and Simmons",123800,1980,"Hobbs, Crosby and Moore",Pressurized Water Reactor,Uranium,"East Juliefurt, Congo",Under Construction,1987,2.6,2
Uzbekistan,"Barrett, Price and Bennett",496900,2017,"Livingston, Miller and Curtis",Pressurized Water Reactor,Thorium,"New Sarah, Uzbekistan",Decommissioned,1991,4.9,2
Liberia,"Downs, Miller and Hanna",339900,1978,Tucker Inc,Pressurized Water Reactor,Uranium,"Port Catherineshire, Liberia",Under Construction,2022,1.33,2
Kuwait,Flores PLC,273400,2005,Taylor-Johnson,Boiling Water Reactor,Uranium,"Jamesport, Kuwait",Under Construction,2014,3.25,2
Dominica,Ramirez Inc,424600,1987,Anderson LLC,Boiling Water Reactor,Uranium,"Anthonyfurt, Dominica",Decommissioned,1978,6.83,5
San Marino,"Ross, Waters and Schaefer",305100,1995,Blair-Anthony,Fast Breeder Reactor,Uranium,"South Alex, San Marino",Decommissioned,1987,3.38,4
Cameroon,Rodriguez-Kerr,101400,2015,"Levy, Wood and Cowan",Fast Breeder Reactor,Mixed Oxide Fuel,"South Jeffreyside, Cameroon",Under Construction,2013,9.11,2
Northern Mariana Islands,Williams-Bailey,75900,1974,"Williams, Goodman and Tucker",Boiling Water Reactor,Uranium,"Davidview, Northern Mariana Islands",Operational,1976,5.99,3
Hong Kong,Allison-Thomas,407600,2000,"Knight, Johns and Delgado",Pressurized Water Reactor,Uranium,"West Coleville, Hong Kong",Under Construction,1972,5.39,5
Kyrgyz Republic,"Sampson, Moore and Lambert",317500,2020,"Delacruz, Carrillo and Jones",Pressurized Water Reactor,Mixed Oxide Fuel,"Reidbury, Kyrgyz Republic",Decommissioned,2014,6.18,3
Nicaragua,Sanchez-Stein,316200,1981,Blake-Price,Boiling Water Reactor,Mixed Oxide Fuel,"Christyfort, Nicaragua",Under Construction,2005,4.53,4
Libyan Arab Jamahiriya,"Barton, Stanton and Hughes",236300,1999,Cox-Sharp,Pressurized Water Reactor,Thorium,"New Annafurt, Libyan Arab Jamahiriya",Planned,1991,5.29,2
Bulgaria,Waters-Bullock,482300,2000,"Cooper, Ward and Chen",Boiling Water Reactor,Mixed Oxide Fuel,"New Jennifer, Bulgaria",Planned,1983,9.01,5
Vanuatu,Green-Wood,154700,1986,Jones Ltd,Pressurized Water Reactor,Mixed Oxide Fuel,"Andrewshire, Vanuatu",Operational,1989,1.15,1
Trinidad and Tobago,Schneider-Ochoa,290900,1987,"Webb, Sheppard and Thomas",Fast Breeder Reactor,Uranium,"Phamberg, Trinidad and Tobago",Operational,1983,5.91,4
Bhutan,Watts-Johnson,327300,1983,Donaldson-Burch,Pressurized Water Reactor,Thorium,"Catherinemouth, Bhutan",Planned,1982,2.81,1
Liechtenstein,Nguyen-Morales,147200,2019,Pena-Smith,Pressurized Water Reactor,Mixed Oxide Fuel,"Christopherchester, Liechtenstein",Decommissioned,1982,1.66,3
Iran,Frazier-Silva,236000,2006,"Carter, Rodriguez and Robbins",Pressurized Water Reactor,Thorium,"New Stevenchester, Iran",Planned,1980,3.32,1
El Salvador,"Colon, Mendoza and Nelson",363900,2005,Rivera-Mckee,Boiling Water Reactor,Thorium,"North Kaylaview, El Salvador",Operational,2007,6.74,1
Bahamas,Duncan-Stephens,325800,1979,Zimmerman and Sons,Boiling Water Reactor,Mixed Oxide Fuel,"Lake Jamesborough, Bahamas",Planned,1998,1.57,5
Turks and Caicos Islands,"Molina, Williams and Alvarez",439400,1980,"Lee, Henderson and Richardson",Pressurized Water Reactor,Thorium,"Whitetown, Turks and Caicos Islands",Under Construction,2018,1.77,2
Norway,Watkins PLC,204400,2010,Terrell Inc,Boiling Water Reactor,Thorium,"New David, Norway",Operational,1993,9.32,4
Mali,Wilson Ltd,475600,1978,Fleming Inc,Fast Breeder Reactor,Thorium,"Gallegosside, Mali",Under Construction,1990,3.41,5
Northern Mariana Islands,"Stewart, Johnson and Gamble",290500,1990,Hall LLC,Pressurized Water Reactor,Uranium,"New Jennifer, Northern Mariana Islands",Decommissioned,1974,3.56,1
Isle of Man,Mcfarland-Mercado,293800,2005,Harrison-Valdez,Fast Breeder Reactor,Mixed Oxide Fuel,"Allenhaven, Isle of Man",Operational,1981,9.79,3
Moldova,Butler-Fernandez,221200,1994,"Gonzalez, Garcia and Carter",Fast Breeder Reactor,Mixed Oxide Fuel,"Pearsonstad, Moldova",Decommissioned,2023,7.01,3
Guernsey,Cole-Lopez,117900,1984,Whitehead Group,Fast Breeder Reactor,Thorium,"Piercetown, Guernsey",Operational,1996,3.27,3
Faroe Islands,"Moran, Yoder and Colon",207100,1996,"Booth, May and Humphrey",Fast Breeder Reactor,Uranium,"Elliottmouth, Faroe Islands",Planned,2007,9.25,3
Egypt,"Murphy, Price and Hamilton",217300,1980,Rivera Group,Fast Breeder Reactor,Mixed Oxide Fuel,"West Melanie, Egypt",Under Construction,2013,7.42,4
Antarctica (the territory South of 60 deg S),"Patel, Boyer and Johnson",496400,1970,Montgomery Inc,Boiling Water Reactor,Mixed Oxide Fuel,"Susanview, Antarctica (the territory South of 60 deg S)",Planned,1987,3.6,1
Antigua and Barbuda,Baker-Rush,181100,2014,"Patterson, Barron and Wells",Pressurized Water Reactor,Thorium,"New Jerry, Antigua and Barbuda",Decommissioned,1984,2.48,2
Turkmenistan,"Jones, Gross and Davis",218700,1986,Hogan and Sons,Boiling Water Reactor,Uranium,"Mariafurt, Turkmenistan",Under Construction,2023,7.39,4
Micronesia,Farmer Inc,81400,1984,"Phillips, Munoz and Smith",Fast Breeder Reactor,Uranium,"Millerberg, Micronesia",Operational,1997,6.64,1
Swaziland,"Novak, Brown and Wright",357700,1998,Chaney-Rodriguez,Fast Breeder Reactor,Uranium,"Walkerhaven, Swaziland",Under Construction,2013,6.05,5
Swaziland,"Figueroa, Cole and White",253200,1974,Mendoza and Sons,Boiling Water Reactor,Mixed Oxide Fuel,"Ryanfort, Swaziland",Decommissioned,2022,6.53,2
Libyan Arab Jamahiriya,"Mcpherson, Kidd and Wells",197300,2021,Murphy Group,Fast Breeder Reactor,Mixed Oxide Fuel,"Port Kellychester, Libyan Arab Jamahiriya",Operational,2005,2.59,3
Papua New Guinea,Curry-Potts,123400,1971,Pollard-Le,Fast Breeder Reactor,Thorium,"Christinechester, Papua New Guinea",Decommissioned,2012,7.87,1
Bermuda,Scott LLC,389200,1984,"Smith, Wu and Miller",Pressurized Water Reactor,Uranium,"North Corey, Bermuda",Operational,1981,6.63,4
Faroe Islands,Ellis-Armstrong,79600,2001,Chavez-Scott,Boiling Water Reactor,Mixed Oxide Fuel,"Michelestad, Faroe Islands",Decommissioned,2007,4.14,4
Mali,Reynolds PLC,436700,1970,Lopez-Yates,Boiling Water Reactor,Uranium,"Michelleview, Mali",Planned,2019,1.93,5
Syrian Arab Republic,Gibbs PLC,341200,2001,Fuller-Mccoy,Pressurized Water Reactor,Uranium,"Juanport, Syrian Arab Republic",Planned,1992,1.57,5
Maldives,Melendez-Walters,272700,1991,Fox-Miller,Pressurized Water Reactor,Mixed Oxide Fuel,"Wattsland, Maldives",Decommissioned,1984,9.39,3
Western Sahara,"Snyder, Stokes and Mason",142800,1970,"Boone, Brown and Schneider",Fast Breeder Reactor,Mixed Oxide Fuel,"South Stanleytown, Western Sahara",Under Construction,2019,6.1,3
Burkina Faso,"Lane, Johnson and Walker",259300,1972,"Gray, Hernandez and Dominguez",Fast Breeder Reactor,Thorium,"East Scott, Burkina Faso",Planned,2016,2.9,3
Swaziland,Sanchez PLC,65500,1982,Mendoza-Yang,Pressurized Water Reactor,Mixed Oxide Fuel,"Jessicafurt, Swaziland",Operational,2003,3.03,3
Iraq,Lopez-Marshall,52900,1987,"Holt, Nguyen and Anderson",Boiling Water Reactor,Thorium,"South Carolynfurt, Iraq",Decommissioned,1991,7.88,2
Senegal,White and Sons,218600,1974,Bradford Ltd,Boiling Water Reactor,Mixed Oxide Fuel,"Port Tiffanychester, Senegal",Planned,1993,5.24,4
Zimbabwe,"Thomas, Hart and Shelton",265700,2004,Owens Group,Pressurized Water Reactor,Thorium,"South Reneechester, Zimbabwe",Under Construction,1986,7.19,4
Cote d'Ivoire,Ramirez LLC,134000,1998,Berger Inc,Fast Breeder Reactor,Uranium,"East Cristina, Cote d'Ivoire",Under Construction,2021,2.23,3
Guyana,Joseph and Sons,86900,2008,"Hendrix, Thomas and Butler",Fast Breeder Reactor,Thorium,"Nicholasfurt, Guyana",Operational,2010,5.93,1
Faroe Islands,Martinez Group,178900,1995,Shepherd Group,Fast Breeder Reactor,Uranium,"South William, Faroe Islands",Planned,2016,4.85,3
Finland,Flores LLC,113300,2008,Perry-Butler,Boiling Water Reactor,Mixed Oxide Fuel,"Hooverfort, Finland",Decommissioned,2012,2.21,4
Venezuela,"Bell, Robinson and Lee",385000,1985,"Wilson, Howard and Salas",Pressurized Water Reactor,Mixed Oxide Fuel,"Gutierrezfort, Venezuela",Decommissioned,1988,6.12,1
Macao,Johnston Group,243200,2009,"Hamilton, Williams and Cruz",Pressurized Water Reactor,Uranium,"Carolynmouth, Macao",Planned,1991,8.71,2
Micronesia,"Wood, Jenkins and Holloway",55900,2002,Hicks-Davidson,Pressurized Water Reactor,Mixed Oxide Fuel,"Adamschester, Micronesia",Decommissioned,2008,3.94,5
Belarus,"Barnes, Wood and Ryan",489500,1990,Perkins Inc,Pressurized Water Reactor,Mixed Oxide Fuel,"Lake Eric, Belarus",Operational,2005,4.49,3
Solomon Islands,Black PLC,103100,1986,Crawford PLC,Pressurized Water Reactor,Uranium,"Port Christinamouth, Solomon Islands",Operational,1991,9.12,4
Saint Kitts and Nevis,Weber Ltd,462500,2002,Ramos Inc,Pressurized Water Reactor,Uranium,"Shafferside, Saint Kitts and Nevis",Operational,2001,6.22,2
Libyan Arab Jamahiriya,"Gardner, Cooper and Barton",186300,2004,"Smith, Thomas and Patterson",Pressurized Water Reactor,Mixed Oxide Fuel,"East Johnburgh, Libyan Arab Jamahiriya",Decommissioned,1979,5.87,2
Hong Kong,Newman-Miller,327800,1972,"Lopez, Wilkinson and Lee",Pressurized Water Reactor,Mixed Oxide Fuel,"East Jenniferbury, Hong Kong",Planned,2014,8.83,2
Bangladesh,Robinson-Brown,413100,1975,Hicks-Wells,Fast Breeder Reactor,Mixed Oxide Fuel,"East Darinmouth, Bangladesh",Under Construction,1975,3.29,5
Peru,Estrada-Baker,320000,1985,Neal-Hale,Fast Breeder Reactor,Uranium,"Rebeccaside, Peru",Under Construction,1995,3.89,1
Saint Lucia,Lamb and Sons,432700,1972,Harrison and Sons,Boiling Water Reactor,Thorium,"South Sharonton, Saint Lucia",Operational,2013,3.2,5
Austria,Taylor-Bell,306200,1975,"Smith, Roberson and Garcia",Pressurized Water Reactor,Uranium,"Lake Alicia, Austria",Under Construction,2012,1.38,4
Netherlands,Young-Daugherty,473700,2013,"Fritz, Cox and Fowler",Boiling Water Reactor,Uranium,"West Timothy, Netherlands",Decommissioned,2005,4.97,2
Holy See (Vatican City State),"Stewart, Hendrix and Romero",161600,1978,"Kaiser, Haynes and Tucker",Pressurized Water Reactor,Thorium,"Jeremyshire, Holy See (Vatican City State)",Planned,2009,3.09,3
Wallis and Futuna,Bradford LLC,67500,1987,"Johnson, Campbell and Pitts",Boiling Water Reactor,Mixed Oxide Fuel,"South John, Wallis and Futuna",Planned,2020,5.71,5
Armenia,Peters Inc,377200,2007,"Jones, Mccann and Davila",Fast Breeder Reactor,Uranium,"Rogersstad, Armenia",Planned,1993,3.43,2
Tajikistan,"Keller, Rodriguez and Barker",411100,1984,Dennis Group,Fast Breeder Reactor,Thorium,"Lake Kenneth, Tajikistan",Operational,2021,6.35,4
United States of America,Anderson Group,417000,2021,Anderson Ltd,Boiling Water Reactor,Mixed Oxide Fuel,"Tracychester, United States of America",Operational,1972,2.12,2
British Virgin Islands,Mills Group,424000,2004,Gross-Walsh,Pressurized Water Reactor,Thorium,"Omarton, British Virgin Islands",Decommissioned,2018,5.97,3
Armenia,Taylor-Evans,352300,1972,Valencia Ltd,Boiling Water Reactor,Uranium,"South Jessicaville, Armenia",Decommissioned,2015,7.55,4
Brazil,Clark Inc,158000,1970,Holmes LLC,Fast Breeder Reactor,Thorium,"Nathanielfurt, Brazil",Decommissioned,1974,5.14,3
Solomon Islands,Miller LLC,411900,2003,"Robinson, Martin and Huber",Boiling Water Reactor,Thorium,"Morrisfurt, Solomon Islands",Under Construction,2011,6.65,4
Uganda,Edwards Group,329800,1970,"Pierce, Adams and Willis",Boiling Water Reactor,Uranium,"West Anthony, Uganda",Operational,2004,4.48,1
Tuvalu,Schultz-Roberts,178600,2021,Rivera-Hunter,Fast Breeder Reactor,Mixed Oxide Fuel,"Christopherside, Tuvalu",Operational,1999,8.65,2
Ireland,Vargas and Sons,110900,1975,"White, Miles and Carter",Fast Breeder Reactor,Thorium,"Angelaborough, Ireland",Under Construction,2013,8.73,4
Uruguay,Navarro-Neal,435800,2023,Potter-Chambers,Boiling Water Reactor,Mixed Oxide Fuel,"South Anthonybury, Uruguay",Decommissioned,1974,2.05,5
Puerto Rico,Ramos Ltd,269900,2012,Ramsey PLC,Fast Breeder Reactor,Mixed Oxide Fuel,"North Theresaport, Puerto Rico",Under Construction,1976,1.89,3
Burkina Faso,Vasquez-Mendoza,481500,1973,Adams and Sons,Fast Breeder Reactor,Mixed Oxide Fuel,"Kellymouth, Burkina Faso",Under Construction,1980,1.23,1
Nauru,Wilcox-Burgess,203000,1997,Wagner-Sanchez,Pressurized Water Reactor,Uranium,"Davidfurt, Nauru",Under Construction,1983,4.45,1
Ghana,Smith-Smith,195800,2000,Perez LLC,Fast Breeder Reactor,Thorium,"Murphymouth, Ghana",Operational,1995,6.17,2
Sweden,"Turner, Weeks and Gross",417100,1985,Bishop-Rasmussen,Fast Breeder Reactor,Uranium,"South Regina, Sweden",Decommissioned,1978,4.07,2
Canada,Estes PLC,365200,1973,Farley-Hill,Boiling Water Reactor,Thorium,"New Cynthiaview, Canada",Under Construction,2004,8.1,5
Colombia,Brooks-Fry,388900,1976,"Allen, Mccann and Morgan",Fast Breeder Reactor,Thorium,"New Jamesview, Colombia",Planned,1980,5.19,5
Saint Helena,Green-Mcgee,151700,1988,Aguilar-Hutchinson,Fast Breeder Reactor,Thorium,"South Selena, Saint Helena",Operational,2007,4.71,1
Bahamas,Green-Collier,329900,2015,Hernandez Group,Boiling Water Reactor,Thorium,"Port Bernardshire, Bahamas",Under Construction,1987,9.37,2
Slovenia,Matthews and Sons,140400,2011,"Pope, Romero and Soto",Pressurized Water Reactor,Mixed Oxide Fuel,"South Heather, Slovenia",Planned,1986,4.0,5
Lebanon,"Bates, Moore and Osborne",378200,2011,Porter LLC,Boiling Water Reactor,Thorium,"North Tracy, Lebanon",Planned,1987,5.45,5
American Samoa,Robles-Flores,254400,2001,Valdez-Everett,Boiling Water Reactor,Thorium,"North Katherinehaven, American Samoa",Planned,2018,4.48,3
France,"Mckee, French and Davis",69300,2012,"Morgan, Walters and Garcia",Boiling Water Reactor,Mixed Oxide Fuel,"Howardland, France",Under Construction,1979,5.18,5
Yemen,Hernandez LLC,270500,1971,"Stevens, Matthews and Mcpherson",Pressurized Water Reactor,Thorium,"West Carriemouth, Yemen",Decommissioned,2022,7.5,2
Guinea-Bissau,Caldwell and Sons,256300,2008,"Anderson, Reed and Juarez",Pressurized Water Reactor,Uranium,"Hernandezfurt, Guinea-Bissau",Under Construction,1981,9.4,5
China,Casey-Watkins,266700,1998,Sanders-Griffin,Pressurized Water Reactor,Thorium,"Woodsstad, China",Decommissioned,2001,5.55,5
Kyrgyz Republic,"Williamson, Christian and Miller",287000,1999,Wright-Lester,Pressurized Water Reactor,Uranium,"Richardsbury, Kyrgyz Republic",Planned,2015,8.49,4
New Zealand,"Crawford, Juarez and Esparza",155600,1999,"Ellis, Roberts and Keller",Boiling Water Reactor,Thorium,"South Daniel, New Zealand",Under Construction,2013,1.54,1
Tunisia,James Ltd,362200,2008,Johnson Ltd,Pressurized Water Reactor,Uranium,"Howardmouth, Tunisia",Planned,1987,8.4,4
Cape Verde,Jones PLC,237500,2011,Hines and Sons,Boiling Water Reactor,Uranium,"Juanshire, Cape Verde",Decommissioned,2000,2.95,1
Sri Lanka,Jimenez-Hobbs,498100,1995,Walker-Moore,Pressurized Water Reactor,Uranium,"Zacharyhaven, Sri Lanka",Under Construction,1991,1.55,4
Djibouti,"Flowers, Wilkins and Flynn",204400,1992,Davis-Blevins,Boiling Water Reactor,Mixed Oxide Fuel,"Kennethburgh, Djibouti",Planned,2014,1.94,2
Timor-Leste,Hobbs and Sons,62300,1990,Blackwell-Brock,Boiling Water Reactor,Thorium,"Lake Samuel, Timor-Leste",Planned,1972,4.62,5
Tokelau,Franklin Group,257000,2014,Robinson LLC,Boiling Water Reactor,Mixed Oxide Fuel,"Cookborough, Tokelau",Decommissioned,1996,3.85,5
Central African Republic,Meyer and Sons,148400,2003,"Odom, Greene and Lawson",Fast Breeder Reactor,Mixed Oxide Fuel,"Smithview, Central African Republic",Operational,1989,6.72,2
Bouvet Island (Bouvetoya),Morales-Stewart,270000,2002,Gray-Perez,Pressurized Water Reactor,Thorium,"West Eric, Bouvet Island (Bouvetoya)",Under Construction,1977,9.16,1
Mozambique,"Francis, Hendrix and Reynolds",284900,1983,Costa-Monroe,Fast Breeder Reactor,Mixed Oxide Fuel,"Georgefort, Mozambique",Operational,2013,1.26,3
Comoros,Decker Group,62700,2021,Washington Group,Pressurized Water Reactor,Mixed Oxide Fuel,"Lake Judithport, Comoros",Operational,2008,5.68,2
Palau,"Norris, Griffith and Smith",443000,1989,Williams-Benitez,Pressurized Water Reactor,Mixed Oxide Fuel,"Lake Deannaton, Palau",Operational,1991,2.4,2
Western Sahara,"White, Bailey and Carter",419000,2007,"Hall, Gordon and Benitez",Pressurized Water Reactor,Mixed Oxide Fuel,"Kelleyshire, Western Sahara",Under Construction,1988,3.55,3
Samoa,Rubio-Fuentes,60600,2007,Meadows-King,Boiling Water Reactor,Thorium,"Floresburgh, Samoa",Operational,1974,1.82,3
Jordan,Bradley-Carter,156700,1998,Garcia Inc,Pressurized Water Reactor,Mixed Oxide Fuel,"Thorntonview, Jordan",Operational,2011,2.95,5
United States Virgin Islands,Randolph and Sons,149200,1976,Dennis-Johnson,Fast Breeder Reactor,Thorium,"Lopezfort, United States Virgin Islands",Planned,2011,1.03,2
Saint Helena,"Gibson, Wallace and Hernandez",170100,1988,Gonzalez-Vasquez,Fast Breeder Reactor,Uranium,"Lewisfort, Saint Helena",Operational,1980,6.01,2
Bermuda,"Sanchez, Bishop and Anderson",305400,1971,Kirk PLC,Fast Breeder Reactor,Thorium,"Joelland, Bermuda",Under Construction,2010,3.08,1
British Indian Ocean Territory (Chagos Archipelago),Jones-Martin,63900,2018,Lee-Dickerson,Boiling Water Reactor,Thorium,"Lake Douglas, British Indian Ocean Territory (Chagos Archipelago)",Under Construction,1985,4.32,2
Korea,"Warner, Johnson and Myers",490700,2020,"Hoffman, Sanchez and Novak",Boiling Water Reactor,Mixed Oxide Fuel,"Vanessatown, Korea",Planned,2005,9.95,5
Botswana,Martinez-Walker,287400,2023,Dominguez and Sons,Fast Breeder Reactor,Thorium,"South Connorborough, Botswana",Operational,2010,8.11,5
Malta,Powell-White,183500,1983,Watkins-Washington,Fast Breeder Reactor,Mixed Oxide Fuel,"South Christopherport, Malta",Decommissioned,2001,2.92,5
Sao Tome and Principe,Dickerson-Russell,223500,2011,Jackson-Ramirez,Fast Breeder Reactor,Thorium,"Andrewburgh, Sao Tome and Principe",Operational,1995,8.19,5
Armenia,"Oneill, Shelton and Randolph",471200,1977,"Rodriguez, Sexton and Stevens",Fast Breeder Reactor,Mixed Oxide Fuel,"East Megan, Armenia",Under Construction,2012,6.76,5
Suriname,"Jackson, Chavez and Guzman",147400,2017,"Crawford, Jones and Dickerson",Fast Breeder Reactor,Thorium,"Port Stephanie, Suriname",Under Construction,2023,6.87,5
Liechtenstein,Mayer PLC,122300,2019,Scott Group,Fast Breeder Reactor,Mixed Oxide Fuel,"Millerstad, Liechtenstein",Operational,1985,2.94,2
Haiti,Thomas-Sims,466900,1978,"Frazier, Lynch and Beck",Boiling Water Reactor,Uranium,"Port Leslie, Haiti",Under Construction,2009,6.05,5
Northern Mariana Islands,Lang-Padilla,463700,1977,Smith-Smith,Pressurized Water Reactor,Thorium,"North Stephanie, Northern Mariana Islands",Planned,2009,9.57,2
Belarus,Clark-Smith,108100,1977,Pittman-Pierce,Pressurized Water Reactor,Mixed Oxide Fuel,"Christopherhaven, Belarus",Under Construction,1987,6.57,3
Seychelles,Ford-Green,318100,1972,Preston-Murphy,Fast Breeder Reactor,Thorium,"Jessicaview, Seychelles",Planned,2003,4.11,5
Aruba,"Flores, Chambers and Coffey",485200,1979,"Russo, Clark and Mckinney",Fast Breeder Reactor,Thorium,"East Michaelview, Aruba",Under Construction,1973,3.46,3
Burkina Faso,"Williams, Robinson and Jordan",93600,1980,Roberts-Meyer,Pressurized Water Reactor,Thorium,"North Rickyton, Burkina Faso",Planned,1995,7.52,4
Guernsey,Powell-Valencia,272900,1992,Perez Ltd,Boiling Water Reactor,Uranium,"Lake Brettfurt, Guernsey",Under Construction,2011,7.17,4
Sudan,Baird-Olsen,225400,1973,Brooks-Jordan,Pressurized Water Reactor,Uranium,"Port Oscarfurt, Sudan",Under Construction,1990,2.21,3
Netherlands Antilles,"Ruiz, Lawson and Carter",174100,2016,Stein LLC,Boiling Water Reactor,Mixed Oxide Fuel,"East Jeffreyton, Netherlands Antilles",Decommissioned,1990,6.51,5
Mexico,"Smith, Lane and Bell",186600,2023,Freeman-Kirby,Fast Breeder Reactor,Mixed Oxide Fuel,"Michaelton, Mexico",Operational,1992,5.01,3
Antarctica (the territory South of 60 deg S),Dudley LLC,348700,1982,"Allen, Potts and Marsh",Pressurized Water Reactor,Uranium,"Lake Michellebury, Antarctica (the territory South of 60 deg S)",Decommissioned,2007,4.22,2
Gibraltar,Johnson Ltd,60500,2009,Hurst-Miller,Fast Breeder Reactor,Uranium,"West Christophertown, Gibraltar",Operational,1980,6.05,4
Vanuatu,Young-Olson,230100,1994,Mitchell-Nixon,Fast Breeder Reactor,Mixed Oxide Fuel,"Lake Joshua, Vanuatu",Decommissioned,2017,5.4,3
Ethiopia,Peterson PLC,306300,2001,Johnson PLC,Boiling Water Reactor,Thorium,"East Kelly, Ethiopia",Under Construction,2018,5.52,3
Latvia,Barnes LLC,97500,2018,Crosby-Reed,Pressurized Water Reactor,Mixed Oxide Fuel,"Sarahville, Latvia",Under Construction,2006,6.95,3
Marshall Islands,"Jacobson, Rogers and Snyder",223500,2018,"Morgan, Stephens and Evans",Fast Breeder Reactor,Uranium,"West Amandaberg, Marshall Islands",Operational,1974,9.3,5
Qatar,"Lopez, Rodriguez and Johnston",275700,2004,"Fuller, Thompson and James",Pressurized Water Reactor,Mixed Oxide Fuel,"Lauraberg, Qatar",Planned,2011,3.56,3
Tuvalu,"Nash, Fletcher and Dillon",124900,2014,Howell-Price,Pressurized Water Reactor,Mixed Oxide Fuel,"Timothyfurt, Tuvalu",Decommissioned,1997,4.31,2
United States of America,Fowler LLC,186100,1986,Martinez PLC,Pressurized Water Reactor,Thorium,"West Matthewshire, United States of America",Under Construction,2017,7.64,5
Congo,"Wood, Ramirez and Cruz",476500,1983,"Velez, Anderson and Osborne",Pressurized Water Reactor,Thorium,"Josephport, Congo",Under Construction,1996,4.51,2
Finland,Hendrix Ltd,191800,2007,Andrews PLC,Pressurized Water Reactor,Thorium,"West Lisa, Finland",Decommissioned,1975,8.19,3
New Zealand,Bell-Chase,412200,1972,Perry-Zavala,Boiling Water Reactor,Uranium,"Ruizborough, New Zealand",Operational,2020,6.93,4
Mali,Dunn-White,394900,2004,Benitez-Martinez,Pressurized Water Reactor,Thorium,"Jacobmouth, Mali",Decommissioned,2003,6.44,5
Taiwan,"Sellers, Koch and Moore",276200,1975,Smith Inc,Pressurized Water Reactor,Thorium,"North Christopher, Taiwan",Planned,1977,4.19,2
Croatia,"Vang, Russell and Herman",71800,1978,Moore-Jones,Pressurized Water Reactor,Thorium,"Lisaville, Croatia",Planned,2002,2.6,3
Saint Martin,Simpson Ltd,377100,1981,Castillo-Henderson,Fast Breeder Reactor,Thorium,"Port Jared, Saint Martin",Operational,1980,8.09,2
Sweden,Simon PLC,113600,1995,Kelley-Baker,Fast Breeder Reactor,Uranium,"Novakside, Sweden",Operational,2017,5.46,1
Kiribati,Hobbs Ltd,374300,1999,"Garcia, Williams and Perkins",Boiling Water Reactor,Uranium,"Taylorfort, Kiribati",Operational,1979,4.61,3
Japan,Roman-Knox,333900,2013,Bean PLC,Fast Breeder Reactor,Uranium,"East Veronica, Japan",Operational,2019,7.7,3
French Polynesia,Ramos Ltd,95200,2001,Lawson-Smith,Fast Breeder Reactor,Thorium,"Nicoleberg, French Polynesia",Planned,2012,9.76,5
Taiwan,"Gonzalez, Richardson and Gibson",440800,1990,"Gilbert, Ward and Morrison",Fast Breeder Reactor,Uranium,"Carolshire, Taiwan",Under Construction,1984,9.9,5
Cameroon,Walsh PLC,176500,2017,Thompson-Munoz,Pressurized Water Reactor,Thorium,"West Joshua, Cameroon",Under Construction,2005,5.79,3
